MMSI,BaseDateTime,LAT,LON,SOG,COG
338123456,2023-01-01T00:00:00+00:00,18.86975,72.86167,2.2,180.2
338123456,2023-01-01T00:05:00+00:00,18.85587,72.8956,7.8,229.3
374567890,2023-01-01T00:10:00+00:00,18.90553,72.77091,0.4,212.5
338123456,2023-01-01T00:15:00+00:00,18.93626,72.8616,3.9,343.1
338123456,2023-01-01T00:20:00+00:00,18.85903,72.79754,8.1,79.2
366789123,2023-01-01T00:25:00+00:00,18.89157,72.82879,6.4,300.9
366789123,2023-01-01T00:30:00+00:00,18.98025,72.87585,9.1,110.1
374567890,2023-01-01T00:35:00+00:00,18.95817,72.82181,3.4,286.1
366789123,2023-01-01T00:40:00+00:00,18.88599,72.82869,5.3,233.7
374567890,2023-01-01T00:45:00+00:00,18.97066,72.78113,9.9,69.2
374567890,2023-01-01T00:50:00+00:00,18.84997,72.78439,7.4,335.0
338123456,2023-01-01T00:55:00+00:00,18.89367,72.83259,1.6,96.1
338123456,2023-01-01T01:00:00+00:00,18.86222,72.83602,7.0,6.4
366789123,2023-01-01T01:05:00+00:00,18.86247,72.8671,7.3,268.0
374567890,2023-01-01T01:10:00+00:00,18.96345,72.8173,7.7,152.5
338123456,2023-01-01T01:15:00+00:00,18.8946,72.85005,5.3,84.9
374567890,2023-01-01T01:20:00+00:00,18.82197,72.85002,7.7,297.8
374567890,2023-01-01T01:25:00+00:00,18.91308,72.80272,0.4,182.5
366789123,2023-01-01T01:30:00+00:00,18.99718,72.75256,6.7,330.2
366789123,2023-01-01T01:35:00+00:00,18.85693,72.90314,6.6,23.0
338123456,2023-01-01T01:40:00+00:00,18.91549,72.83786,0.5,8.4
366789123,2023-01-01T01:45:00+00:00,18.98665,72.82751,5.1,279.1
366789123,2023-01-01T01:50:00+00:00,18.99183,72.77551,2.5,115.5
366789123,2023-01-01T01:55:00+00:00,18.93182,72.89148,6.5,224.7
338123456,2023-01-01T02:00:00+00:00,18.85063,72.83132,9.0,323.5
374567890,2023-01-01T02:05:00+00:00,18.95166,72.75413,2.6,211.3
366789123,2023-01-01T02:10:00+00:00,18.82191,72.90607,1.6,96.2
374567890,2023-01-01T02:15:00+00:00,18.82357,72.94502,6.8,213.4
338123456,2023-01-01T02:20:00+00:00,18.95018,72.75127,4.8,322.4
374567890,2023-01-01T02:25:00+00:00,18.81983,72.93808,0.6,24.5
374567890,2023-01-01T02:30:00+00:00,18.91837,72.81714,4.4,54.3
338123456,2023-01-01T02:35:00+00:00,18.86085,72.91368,4.2,99.3
374567890,2023-01-01T02:40:00+00:00,18.91919,72.83606,6.3,114.6
366789123,2023-01-01T02:45:00+00:00,18.96892,72.84516,7.1,89.8
374567890,2023-01-01T02:50:00+00:00,18.82879,72.85922,0.2,269.1
374567890,2023-01-01T02:55:00+00:00,18.88977,72.88353,4.4,105.3
374567890,2023-01-01T03:00:00+00:00,18.91005,72.87313,5.9,259.2
366789123,2023-01-01T03:05:00+00:00,18.94114,72.80775,8.3,31.3
338123456,2023-01-01T03:10:00+00:00,18.86634,72.78833,3.7,74.9
366789123,2023-01-01T03:15:00+00:00,18.91385,72.77706,8.3,336.5
374567890,2023-01-01T03:20:00+00:00,18.8836,72.94215,1.1,114.3
366789123,2023-01-01T03:25:00+00:00,18.87242,72.90026,1.9,161.3
374567890,2023-01-01T03:30:00+00:00,18.86856,72.79241,0.9,212.3
338123456,2023-01-01T03:35:00+00:00,18.98822,72.76328,6.3,334.7
374567890,2023-01-01T03:40:00+00:00,18.81196,72.75609,9.1,162.5
374567890,2023-01-01T03:45:00+00:00,18.87645,72.90092,7.5,91.0
338123456,2023-01-01T03:50:00+00:00,18.94242,72.75998,8.9,281.7
374567890,2023-01-01T03:55:00+00:00,18.96163,72.85146,8.3,202.0
366789123,2023-01-01T04:00:00+00:00,18.80849,72.82282,3.9,204.2
374567890,2023-01-01T04:05:00+00:00,18.98613,72.87767,4.7,334.4
374567890,2023-01-01T04:10:00+00:00,18.82947,72.89275,8.3,168.9
338123456,2023-01-01T04:15:00+00:00,18.93266,72.80337,2.7,92.8
374567890,2023-01-01T04:20:00+00:00,18.99001,72.82343,2.1,207.4
374567890,2023-01-01T04:25:00+00:00,18.89576,72.91501,5.5,244.7
374567890,2023-01-01T04:30:00+00:00,18.84824,72.7924,3.8,309.3
366789123,2023-01-01T04:35:00+00:00,18.90223,72.76922,2.4,44.9
338123456,2023-01-01T04:40:00+00:00,18.90767,72.93944,9.9,62.6
374567890,2023-01-01T04:45:00+00:00,18.91277,72.82161,5.0,83.7
366789123,2023-01-01T04:50:00+00:00,18.88783,72.77466,0.7,63.3
374567890,2023-01-01T04:55:00+00:00,18.91444,72.89787,9.9,305.0
366789123,2023-01-01T05:00:00+00:00,18.8929,72.84675,4.8,140.9
374567890,2023-01-01T05:05:00+00:00,18.81624,72.77185,9.5,230.4
338123456,2023-01-01T05:10:00+00:00,18.80592,72.87977,2.3,127.5
338123456,2023-01-01T05:15:00+00:00,18.9319,72.83131,0.8,128.3
366789123,2023-01-01T05:20:00+00:00,18.8217,72.78418,6.7,275.0
374567890,2023-01-01T05:25:00+00:00,18.91802,72.88363,4.9,109.1
366789123,2023-01-01T05:30:00+00:00,18.80732,72.79345,3.5,24.1
366789123,2023-01-01T05:35:00+00:00,18.9386,72.76281,1.2,85.3
374567890,2023-01-01T05:40:00+00:00,18.83947,72.87452,2.5,30.6
338123456,2023-01-01T05:45:00+00:00,18.83697,72.81388,8.1,246.1
374567890,2023-01-01T05:50:00+00:00,18.86825,72.78073,8.4,145.6
374567890,2023-01-01T05:55:00+00:00,18.9819,72.9274,0.8,149.5
338123456,2023-01-01T06:00:00+00:00,18.99425,72.8388,6.6,241.6
366789123,2023-01-01T06:05:00+00:00,18.85278,72.79937,0.1,258.0
374567890,2023-01-01T06:10:00+00:00,18.96026,72.86571,3.7,354.7
338123456,2023-01-01T06:15:00+00:00,18.83006,72.79345,4.9,170.5
338123456,2023-01-01T06:20:00+00:00,18.80008,72.86708,8.8,80.2
366789123,2023-01-01T06:25:00+00:00,18.87298,72.93386,6.3,237.0
366789123,2023-01-01T06:30:00+00:00,18.94522,72.87122,7.1,255.7
366789123,2023-01-01T06:35:00+00:00,18.81551,72.88457,7.0,354.8
374567890,2023-01-01T06:40:00+00:00,18.84478,72.82275,2.2,217.9
338123456,2023-01-01T06:45:00+00:00,18.82418,72.87867,9.8,75.5
374567890,2023-01-01T06:50:00+00:00,18.82325,72.86018,0.4,69.1
366789123,2023-01-01T06:55:00+00:00,18.87689,72.83208,6.2,122.9
374567890,2023-01-01T07:00:00+00:00,18.91174,72.85823,6.2,299.2
338123456,2023-01-01T07:05:00+00:00,18.8515,72.86109,9.0,149.6
374567890,2023-01-01T07:10:00+00:00,18.9377,72.93596,6.7,121.8
338123456,2023-01-01T07:15:00+00:00,18.956,72.76393,7.7,134.1
374567890,2023-01-01T07:20:00+00:00,18.81644,72.89752,6.6,1.8
366789123,2023-01-01T07:25:00+00:00,18.91272,72.75255,1.5,180.8
366789123,2023-01-01T07:30:00+00:00,18.92266,72.88156,6.6,127.2
366789123,2023-01-01T07:35:00+00:00,18.86833,72.88322,2.9,156.4
374567890,2023-01-01T07:40:00+00:00,18.83298,72.79346,2.3,166.3
366789123,2023-01-01T07:45:00+00:00,18.89279,72.75085,8.0,95.5
366789123,2023-01-01T07:50:00+00:00,18.95705,72.82881,8.0,330.1
374567890,2023-01-01T07:55:00+00:00,18.80844,72.75453,1.3,304.8
366789123,2023-01-01T08:00:00+00:00,18.9424,72.7814,9.9,309.7
366789123,2023-01-01T08:05:00+00:00,18.81933,72.84345,7.9,154.1
366789123,2023-01-01T08:10:00+00:00,18.93403,72.84957,1.1,112.3
374567890,2023-01-01T08:15:00+00:00,18.88938,72.91895,2.2,89.8
338123456,2023-01-01T08:20:00+00:00,18.87937,72.81921,4.3,327.4
366789123,2023-01-01T08:25:00+00:00,18.81024,72.94228,3.1,249.5
338123456,2023-01-01T08:30:00+00:00,18.84349,72.78907,6.4,248.5
366789123,2023-01-01T08:35:00+00:00,18.98155,72.90064,8.0,185.8
366789123,2023-01-01T08:40:00+00:00,18.83029,72.82308,5.3,201.3
338123456,2023-01-01T08:45:00+00:00,18.87648,72.85819,6.2,21.9
338123456,2023-01-01T08:50:00+00:00,18.84248,72.94469,2.4,309.0
366789123,2023-01-01T08:55:00+00:00,18.8831,72.89959,2.9,39.0
366789123,2023-01-01T09:00:00+00:00,18.88519,72.84833,5.2,314.3
338123456,2023-01-01T09:05:00+00:00,18.82253,72.88787,6.7,75.3
338123456,2023-01-01T09:10:00+00:00,18.82188,72.77,9.9,131.7
374567890,2023-01-01T09:15:00+00:00,18.97854,72.77443,8.1,271.7
338123456,2023-01-01T09:20:00+00:00,18.84792,72.94018,7.5,235.0
374567890,2023-01-01T09:25:00+00:00,18.98844,72.9413,9.5,160.0
374567890,2023-01-01T09:30:00+00:00,18.9806,72.82545,2.3,178.1
338123456,2023-01-01T09:35:00+00:00,18.87391,72.88579,9.6,314.1
366789123,2023-01-01T09:40:00+00:00,18.90553,72.76217,3.6,1.2
374567890,2023-01-01T09:45:00+00:00,18.84946,72.7668,5.1,232.0
338123456,2023-01-01T09:50:00+00:00,18.96196,72.92963,5.2,40.8
338123456,2023-01-01T09:55:00+00:00,18.86726,72.82063,9.8,104.3
338123456,2023-01-01T10:00:00+00:00,18.93179,72.80436,9.3,29.4
374567890,2023-01-01T10:05:00+00:00,18.85849,72.83344,9.9,211.4
338123456,2023-01-01T10:10:00+00:00,18.95588,72.80057,3.5,85.9
366789123,2023-01-01T10:15:00+00:00,18.8647,72.82375,6.7,309.6
366789123,2023-01-01T10:20:00+00:00,18.84943,72.76595,2.8,201.9
338123456,2023-01-01T10:25:00+00:00,18.99961,72.91026,8.3,88.7
338123456,2023-01-01T10:30:00+00:00,18.89454,72.85628,3.6,281.6
338123456,2023-01-01T10:35:00+00:00,18.93472,72.93533,0.2,286.7
338123456,2023-01-01T10:40:00+00:00,18.82792,72.92473,8.2,288.1
338123456,2023-01-01T10:45:00+00:00,18.94885,72.83266,5.5,121.6
338123456,2023-01-01T10:50:00+00:00,18.85897,72.80926,1.5,66.8
338123456,2023-01-01T10:55:00+00:00,18.98459,72.77614,5.6,28.1
366789123,2023-01-01T11:00:00+00:00,18.83294,72.90074,8.0,259.6
366789123,2023-01-01T11:05:00+00:00,18.90602,72.87983,5.5,61.7
374567890,2023-01-01T11:10:00+00:00,18.89647,72.83837,5.3,12.5
366789123,2023-01-01T11:15:00+00:00,18.96829,72.77132,4.7,322.0
366789123,2023-01-01T11:20:00+00:00,18.87433,72.82995,7.3,22.3
374567890,2023-01-01T11:25:00+00:00,18.83139,72.75681,2.2,261.4
374567890,2023-01-01T11:30:00+00:00,18.92267,72.85483,9.8,323.7
366789123,2023-01-01T11:35:00+00:00,18.88339,72.79697,6.0,25.1
338123456,2023-01-01T11:40:00+00:00,18.84182,72.90748,6.0,219.3
338123456,2023-01-01T11:45:00+00:00,18.94687,72.86793,5.9,183.7
374567890,2023-01-01T11:50:00+00:00,18.93592,72.80428,8.9,101.8
374567890,2023-01-01T11:55:00+00:00,18.98409,72.85733,9.3,221.7
338123456,2023-01-01T12:00:00+00:00,18.80568,72.81786,7.6,138.4
374567890,2023-01-01T12:05:00+00:00,18.95584,72.83026,2.5,56.0
338123456,2023-01-01T12:10:00+00:00,18.82536,72.77912,7.3,201.9
374567890,2023-01-01T12:15:00+00:00,18.89819,72.76166,4.0,163.6
366789123,2023-01-01T12:20:00+00:00,18.94564,72.89477,0.2,24.6
374567890,2023-01-01T12:25:00+00:00,18.93442,72.90374,8.7,56.9
374567890,2023-01-01T12:30:00+00:00,18.95787,72.79895,8.5,140.2
374567890,2023-01-01T12:35:00+00:00,18.8284,72.84854,9.6,252.7
338123456,2023-01-01T12:40:00+00:00,18.87354,72.83665,4.2,125.8
374567890,2023-01-01T12:45:00+00:00,18.86753,72.84294,8.6,67.6
374567890,2023-01-01T12:50:00+00:00,18.94707,72.9099,3.2,150.5
366789123,2023-01-01T12:55:00+00:00,18.83705,72.85763,3.1,307.2
338123456,2023-01-01T13:00:00+00:00,18.88604,72.8365,2.3,93.0
366789123,2023-01-01T13:05:00+00:00,18.80922,72.91761,7.4,338.8
338123456,2023-01-01T13:10:00+00:00,18.86298,72.84572,6.4,331.1
